中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,27 ms,521 Mbps,66764 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,34 ms,676 Mbps,86630 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,46 ms,660 Mbps,84582 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,36 ms,553 Mbps,70860 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,48 ms,336 Mbps,43008 kB/s
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,34 ms,632 Mbps,80896 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,36 ms,472 Mbps,60518 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,31 ms,516 Mbps,66048 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,37 ms,606 Mbps,77619 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,49 ms,6 Mbps,838 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,139 ms,143 Mbps,18329 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,120 ms,46 Mbps,5990 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,131 ms,186 Mbps,23859 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,131 ms,44 Mbps,5733 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,139 ms,149 Mbps,19148 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,150 ms,136 Mbps,17408 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,121 ms,174 Mbps,22323 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,131 ms,44 Mbps,5736 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,129 ms,30 Mbps,3850 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,162 ms,39 Mbps,5073 kB/s
141.144.201.185,443,163.123.193.10,DE,Frankfurt,隧道,143 ms,138 Mbps,17715 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,139 ms,41 Mbps,5374 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,181 ms,13 Mbps,1688 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,188 ms,8 Mbps,1050 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,190 ms,44 Mbps,5652 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,196 ms,36 Mbps,4732 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,135 ms,46 Mbps,6003 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,165 ms,116 Mbps,14950 kB/s
